Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min
Hydro-Electric Corporation trading as Hydro Tasmania,Lake Echo Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,32.4,N,LK_ECHO,32.4,34,15
Snowy Hydro Limited,Laverton North Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2-Jan,156,Y,LAVNORTH,312,346,60
Hydro-Electric Corporation trading as Hydro Tasmania,Lemonthyme / Wilmot  Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,L 1,51,Y,LEM_WIL,81.6,86,25
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,500,N,LD01,500,550,110
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,500,N,LD02,500,550,110
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,500,N,LD03,500,550,110
AGL Macquarie Pty Limited,Liddell Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,500,N,LD04,500,550,110
Origin Energy Electricity Limited,Longford Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,,,6-Jan,5.3,N,LONGFORD,31,31.8,
LUMO Generation SA Pty Ltd,Lonsdale Power Station,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,18-Jan,1.125,Y,LONSDALE,20,20,
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,560,N,LYA1,560,590,118
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,530,N,LYA2,530,535,108
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,560,N,LYA3,560,590,118
AGL Loy Yang Marketing Pty Ltd,Loy Yang A Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,560,N,LYA4,560,580,116
IPM Australia Limited ,Loy Yang B Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,500,N,LOYYB1,500,600,25
IPM Australia Limited ,Loy Yang B Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,500,N,LOYYB2,500,600,25
EDL LFG (NSW) Pty Ltd,Lucas Heights 2 LFG Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,11-Jan,1.15,N,LUCAS2S2,13,13,
EDL LFG (NSW) Pty Ltd,Lucas Heights 2 LFG Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,15-Dec,4.6,N,LUCASHGT,5,5,
AGL Hydro Partnership,Macarthur Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-140,3,N,MACARTH1,420,420,840
Stanwell Corporation Limited,Mackay Gas Turbine,QLD1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,30,N,MACKAYGT,30,34,16
Hydro-Electric Corporation trading as Hydro Tasmania,Mackintosh Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,79.9,N,MACKNTSH,79.9,89,40
Hydro-Electric Corporation trading as Hydro Tasmania,Meadowbank Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,40,N,MEADOWBK,40,42,10
Tasmanian Irrigation Pty Ltd,Midlands Power Station,TAS1,Generator,Non-Market,Non-Scheduled,Hydro,Hydro,Renewable,Hydro - Gravity,1,6,N,MIDLDPS1,6,7,0
Millmerran Energy Trader Pty Ltd,Millmerran Power Plant,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,1,426,N,MPP_1,426,450,90
Millmerran Energy Trader Pty Ltd,Millmerran Power Plant,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,2,426,N,MPP_2,426,450,90
Synergen Power Pty Limited,Mintaro Gas Turbine Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,90,N,MINTARO,90,105,5
AGL Hydro Partnership,Moranbah Generation Project,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,8-Jan,1.57,N,MORANBAH,12.56,13,
EDL Projects (Australia) Pty Ltd,Moranbah North Power Station,QLD1,Generator,Market,Non-Scheduled,Renewable,Waste Coal Mine Gas,Combustion,Spark Ignition,21-Jan,3.02,Y,MBAHNTH,63,57,
EnergyAustralia Pty Ltd,Mornington Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,0.77,N,MORNW,1,1,
Origin Energy Electricity Limited,Mortlake Power Station Units,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),11,283,N,MORTLK11,283,281,13
Origin Energy Electricity Limited,Mortlake Power Station Units,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),12,283,N,MORTLK12,283,281,13
Mortons Lane Windfarm Pty Limited,Mortons Lane Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,13-Jan,1.5,N,MLWF1,20,20,
Mt Mercer Windfarm Pty Ltd,Mt Mercer Windf Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-64,2.05,N,MERCER01,131,131,33
Mt Millar Wind Farm Pty Ltd,Mt Millar Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,2,N,MTMILLAR,70,70,
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,700,N,MP1,700,700,25
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,700,N,MP2,700,700,25
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),1,146,N,MSTUART1,146,152,31
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),2,146,N,MSTUART2,146,152,31
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),3,131,N,MSTUART3,131,139,28
Snowy Hydro Limited,Murray 1 Power Station,VIC1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,10-Jan,95,Y,MURRAY,1500,1575,450
Hydro-Electric Corporation trading as Hydro Tasmania,Musselroe Wind Farm,TAS1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-56,3,N,MUSSELR1,168,168,17
Ecogen Energy Pty Ltd,Newport Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Steam Sub-Critical,1,500,N,NPS,500,510,20
EnerNOC Pty Ltd,Nine Network Willoughby Plant ,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,3-Jan,1.06,N,NINEWIL1,3.2,2,
AGL Hydro Partnership,North Brown Hill Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-63,2.1,N,NBHWF1,132.3,132,30
Flinders Operating Services Pty Ltd,Northern Power Station,SA1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,265,N,NPS1,265,273,7
Flinders Operating Services Pty Ltd,Northern Power Station,SA1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,265,N,NPS2,265,273,7
AGL Hydro Partnership,Oakey Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,141,N,OAKEY1,141,171,30
AGL Hydro Partnership,Oakey Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,141,N,OAKEY2,141,171,30
AGL Hydro Partnership,Oaklands Hill Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,32,2.1,N,OAKLAND1,67,63,30
Origin Energy Electricity Limited,Oaky Creek  Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,14-Jan,1.037,Y,OAKYCREK,20,20,
Origin Energy Electricity Limited,Osborne Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,118,Y,OSB-AG,180,204,41
Hydro-Electric Corporation trading as Hydro Tasmania,Paloona Power Station,TAS1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,28,N,PALOONA,28,33,
EDL LFG (SA) Pty Ltd,Pedler Creek Landfill Gas Power Station Units 1-3,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,3-Jan,1.03,N,PEDLER1,3,3,0
Pelican Point Power Limited,Pelican Point Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),2-Jan,160,Y,PPCCGT,478,510,20
AGL Hydro Partnership,Pindari Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,6.7,N,PINDARI,6.7,6,
Flinders Operating Services Pty Ltd,Playford B Power Station,SA1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4-Jan,60,Y,PLAYB-AG,240,252,3
Hydro-Electric Corporation trading as Hydro Tasmania,Poatina Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2-Jan,50,Y,POAT110,100,124,20
Hydro-Electric Corporation trading as Hydro Tasmania,Poatina Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,6-Mar,50,Y,POAT220,200,248,40
Synergen Power Pty Limited,Port Lincoln Gas Turbine,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),2-Jan,25,Y,POR01,50,55,6
Synergen Power Pty Limited,Port Lincoln Gas Turbine,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),3,23.5,N,POR03,23.5,23,5
LUMO Generation SA Pty Ltd,Port Stanvac Power Station 1,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,18-Jan,1.6,N,STANV1,28.8,32,
LUMO Generation SA Pty Ltd,Port Stanvac Power Station 2,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,19-36,1.6,N,STANV2,28.8,32,
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,24,N,QPS1,24,25,5
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,24,N,QPS2,24,25,5
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,24,N,QPS3,24,25,5
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,24,N,QPS4,24,25,5
Origin Energy Electricity Limited,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),5,128,N,QPS5,128,128,26
Redbank Project Pty Limited,Redbank Power Station,NSW1,Generator,Market,Scheduled,Fossil,Coal Tailings,Combustion,Steam Sub-Critical,1,150,N,REDBANK1,150,151,5
Hydro-Electric Corporation trading as Hydro Tasmania,Reece Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,115.6,N,REECE1,115.6,119,40
Hydro-Electric Corporation trading as Hydro Tasmania,Reece Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,2,115.6,N,REECE2,115.6,119,40
LUMO Generation SA Pty Ltd,Remount Power Station,TAS1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,,,2-Jan,1,N,REMOUNT,2,2,
Hydro-Electric Corporation trading as Hydro Tasmania,Repulse Power Station,TAS1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,28,N,REPULSE,28,29,
Origin Energy Electricity Limited,Rochedale Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,3-Jan,1.1,N,ROCHEDAL,4,4,
FPC 30 Limited (as Trustee for the FPC Green Trust),Rocky Point Cogeneration Plant,QLD1,Generator,Market,Non-Scheduled,,,,,1,30,N,RPCG,30,32,
AGL Hydro Partnership,Roghan Road LFG Power Plant,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,2,N,EDLRGNRD,2,2,
Origin Energy Electricity Limited,Roma Gas Turbine Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),7,40,N,ROMA_7,40,42,9
Origin Energy Electricity Limited,Roma Gas Turbine Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),8,40,N,ROMA_8,40,42,9
Hydro-Electric Corporation trading as Hydro Tasmania,Rowallan Power Station,TAS1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,10.5,N,ROWALLAN,10.5,11,
FRV Royalla Solar Farm Pty Ltd,Royalla Solar Farm,ACT1,Generator,Market,Non-Scheduled,Solar,Solar PV,Renewable,Photovoltaic Flat Panel,20-Jan,1,N,ROYALLA1,20,20,
Diamond Energy Pty Ltd ,Shepparton Wastewater Treatment Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage/Waste Water,Combustion,Compression Reciprocating Engine,1,1.1,N,SHEP1,1.1,1,
Marubeni Australia Power Services Pty Ltd,Smithfield Energy Facility,NSW1,Generator,Non-Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),3-Jan,38,Y,SITHE01,160,175,35
Snowtown Wind Farm Stage 2 Pty ltd ,Snowtown South Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-42,3,N,SNOWSTH1,126,126,50
Snowtown Wind Farm Stage 2 Pty ltd ,Snowtown Wind Farm Stage 2 North,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-48,3,N,SNOWNTH1,148,144,50
Snowtown Wind Farm Pty Ltd,Snowtown Wind Farm Units 1 And 47,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-47,2.1,N,SNOWTWN1,99,99,20
Synergen Power Pty Limited,Snuggery Power Station,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),3-Jan,21,Y,SNUG1,63,69,3
AGL Hydro Partnership,Somerton Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4-Jan,40,Y,AGLSOM,160,170,30
Progressive Green Pty Ltd,South East Water - Hallam Hydro Plant,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,0.25,N,HLMSEW01,0.25,1,
Secure Energy Pty Ltd,Southbank Institute Of Technology Unit 1 Plant,QLD1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,STHBKTEC,1,1,
EDL LFG (VIC) Pty Ltd,Springvale Landfill Gas Power Station,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,4-Jan,1.05,N,SVALE1,4.2,4.2,0
EnerNOC Pty Ltd,St George Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,1.48,N,STGEORG1,1,1,
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,365,N,STAN-1,365,385,77
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,365,N,STAN-2,365,385,77
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,365,N,STAN-3,365,385,77
Stanwell Corporation Limited,Stanwell Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,365,N,STAN-4,365,385,77
Starfish Hill Wind Farm Pty Ltd ,Starfish Hill Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,23-Jan,1.5,N,STARHLWF,34.5,35,
AGL Hydro Partnership,Suncoast Gold Macadamias,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Macadamia Nut Shells,Combustion,Steam Sub-Critical,1,1.5,N,SUNCOAST,1.5,1,
Stanwell Corporation Limited,Swanbank E Gas Turbine,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,385,N,SWAN_E,385,385,77
EnergyAustralia Pty Ltd,Tallawarra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,460,N,TALWA1,460,460,92
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Tamar Valley Combined Cycle Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,141,Y,TVCC201,208,208,9
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Tamar Valley Peaking  Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,58,N,TVPP104,58,58,10
NovaPower Pty Ltd,Taralgon Network Support Station,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Spark Ignition Reciprocating Engine,5-Jan,2,N,TGNSS1,10,10,
Stanwell Corporation Limited,Tarong North Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,1,450,N,TNPS1,443,480,96
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,350,N,TARONG#1,350,385,77
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,350,N,TARONG#2,350,385,77
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,350,N,TARONG#3,350,385,77
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,350,N,TARONG#4,350,385,77
Hydro-Electric Corporation trading as Hydro Tasmania,Tarraleah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,6-Jan,15,Y,TARRALEA,90,94,60
EnerNOC Pty Ltd,Tatiara Bordertown Plant,SA1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,0.5,N,TATIARA1,0.5,1,
Diamond Energy Pty Ltd ,Tatura Biomass Generator,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage/Waste Water,Combustion,Compression Reciprocating Engine,1,1.1,N,TATURA01,1.1,1,
EDL LFG (SA) Pty Ltd,Tea Tree Gully Landfill Gas Power Station Unit 1,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1.03,N,TEATREE1,1,1,0
EnviroGen Pty Limited,Teralba Power Station ,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,3-Jan,1,N,TERALBA,3,3,
Hydro-Electric Corporation trading as Hydro Tasmania,Terminal Storage Mini Hydro Power Station,SA1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,2.5,N,TERMSTOR,2.5,2,
AGL Hydro Partnership,The Bluff Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,25-Jan,2.1,N,BLUFF1,52.5,52.5,30
Pacific Hydro Investments Pty Ltd,The Drop Hydro Unit 1,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,2.5,N,THEDROP1,3,3,0
Toora Wind Farm Pty Ltd ,Toora Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,12-Jan,1.75,Y,TOORAWF,21,21,
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""A""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,1,120,N,TORRA1,120,120,20
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""A""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,2,120,N,TORRA2,120,120,20
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""A""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,3,120,N,TORRA3,120,120,15
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""A""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,4,120,N,TORRA4,120,120,15
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""B""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,1,200,N,TORRB1,200,210,20
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""B""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,2,200,N,TORRB2,200,210,20
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""B""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,3,200,N,TORRB3,200,210,20
AGL SA Generation Pty Limited ,"Torrens Island Power Station ""B""",SA1,Generator,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,4,200,N,TORRB4,200,210,20
AGL Hydro Partnership,Townsville Gas Turbine,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,160,N,YABULU,160,174,17
AGL Hydro Partnership,Townsville Gas Turbine,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,82,N,YABULU2,82,84,10
Hydro-Electric Corporation trading as Hydro Tasmania,Trevallyn Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,4-Jan,20,Y,TREVALLN,80,103,60
Hydro-Electric Corporation trading as Hydro Tasmania,Tribute Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,82.8,N,TRIBUTE,82.8,92,40
Snowy Hydro Limited,Tumut 1 Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,4-Jan,82,Y,UPPTUMUT,616,665,320
Snowy Hydro Limited,Tumut 3 Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,6-Jan,250,Y,TUMUT3,1500,1800,600
Hydro-Electric Corporation trading as Hydro Tasmania,Tungatinah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,5-Jan,25,Y,TUNGATIN,125,131,75
Origin Energy Uranquinty Power Pty Ltd,Uranquinty Power Station ,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,166,N,URANQ11,166,166,34
Origin Energy Uranquinty Power Pty Ltd,Uranquinty Power Station ,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,166,N,URANQ12,166,166,34
Origin Energy Uranquinty Power Pty Ltd,Uranquinty Power Station ,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,166,N,URANQ13,166,166,34
Origin Energy Uranquinty Power Pty Ltd,Uranquinty Power Station ,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,166,N,URANQ14,166,166,34
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,5,660,N,VP5,660,680,25
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,6,660,N,VP6,660,680,25
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),6-Jan,50,Y,VPGS,300,390,60
Veolia Environmental Services (Australia) Pty Ltd,Veolia Ti Tree Bio Reactor,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,2-Jan,1,Y,TITREE,2,2,
EnergyAustralia Pty Ltd,"Wallerawang ""C"" Power Station",NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,8,500,N,WW8,500,500,10
Waterloo Wind Farm Pty Ltd,Waterloo Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-37,3,N,WATERLWF,111,111,23
